\textexclamdown,¡
\textcent,¢
\textsterling,£
\textcurrency,¤
\textyen,¥
\textbrokenbar,¦
\textsection,§
\textasciidieresis,¨
\textcopyright,©
\textordfeminine,ª
\guillemotleft,«
\lnot,¬
\-,­
\textregistered,®
\textasciimacron,¯
\textdegree,°
\pm,±
\textasciiacute,´
\mathrm{\mu},µ
\textparagraph,¶
\cdot,·
\c{},¸
\textordmasculine,º
\guillemotright,»
\textonequarter,¼
\textonehalf,½
\textthreequarters,¾
\textquestiondown,¿
\`{A},À
\'{A},Á
\^{A},Â
\~{A},Ã
\"{A},Ä
\AA,Å
\AE,Æ
\c{C},Ç
\`{E},È
\'{E},É
\^{E},Ê
\"{E},Ë
\`{I},Ì
\'{I},Í
\^{I},Î
\"{I},Ï
\DH,Ð
\~{N},Ñ
\`{O},Ò
\'{O},Ó
\^{O},Ô
\~{O},Õ
\"{O},Ö
\texttimes,×
\O,Ø
\`{U},Ù
\'{U},Ú
\^{U},Û
\"{U},Ü
\'{Y},Ý
\TH,Þ
\ss,ß
\`{a},à
\'{a},á
\^{a},â
\~{a},ã
\"{a},ä
\aa,å
\ae,æ
\c{c},ç
\`{e},è
\'{e},é
\^{e},ê
\"{e},ë
\`{\i},ì
\'{\i},í
\^{\i},î
\"{\i},ï
\dh,ð
\~{n},ñ
\`{o},ò
\'{o},ó
\^{o},ô
\~{o},õ
\"{o},ö
\div,÷
\o,ø
\`{u},ù
\'{u},ú
\^{u},û
\"{u},ü
\'{y},ý
\th,þ
\"{y},ÿ
\={A},Ā
\={a},ā
\u{A},Ă
\u{a},ă
\k{A},Ą
\k{a},ą
\'{C},Ć
\'{c},ć
\^{C},Ĉ
\^{c},ĉ
\.{C},Ċ
\.{c},ċ
\v{C},Č
\v{c},č
\v{D},Ď
\v{d},ď
\DJ,Đ
\dj,đ
\={E},Ē
\={e},ē
\u{E},Ĕ
\u{e},ĕ
\.{E},Ė
\.{e},ė
\k{E},Ę
\k{e},ę
\v{E},Ě
\v{e},ě
\^{G},Ĝ
\^{g},ĝ
\u{G},Ğ
\u{g},ğ
\.{G},Ġ
\.{g},ġ
\c{G},Ģ
\c{g},ģ
\^{H},Ĥ
\^{h},ĥ
\Elzxh,ħ
\~{I},Ĩ
\~{\i},ĩ
\={I},Ī
\={\i},ī
\u{I},Ĭ
\u{\i},ĭ
\k{I},Į
\k{i},į
\.{I},İ
\i,ı
\^{J},Ĵ
\^{\j},ĵ
\c{K},Ķ
\c{k},ķ
\'{L},Ĺ
\'{l},ĺ
\c{L},Ļ
\c{l},ļ
\v{L},Ľ
\v{l},ľ
\L,Ł
\l,ł
\'{N},Ń
\'{n},ń
\c{N},Ņ
\c{n},ņ
\v{N},Ň
\v{n},ň
\NG,Ŋ
\ng,ŋ
\={O},Ō
\={o},ō
\u{O},Ŏ
\u{o},ŏ
\H{O},Ő
\H{o},ő
\OE,Œ
\oe,œ
\'{R},Ŕ
\'{r},ŕ
\c{R},Ŗ
\c{r},ŗ
\v{R},Ř
\v{r},ř
\'{S},Ś
\'{s},ś
\^{S},Ŝ
\^{s},ŝ
\c{S},Ş
\c{s},ş
\v{S},Š
\v{s},š
\c{T},Ţ
\c{t},ţ
\v{T},Ť
\v{t},ť
\~{U},Ũ
\~{u},ũ
\={U},Ū
\={u},ū
\u{U},Ŭ
\u{u},ŭ
\r{U},Ů
\r{u},ů
\H{U},Ű
\H{u},ű
\k{U},Ų
\k{u},ų
\^{W},Ŵ
\^{w},ŵ
\^{Y},Ŷ
\^{y},ŷ
\"{Y},Ÿ
\'{Z},Ź
\'{z},ź
\.{Z},Ż
\.{z},ż
\v{Z},Ž
\v{z},ž
\texthvlig,ƕ
\textnrleg,ƞ
\eth,ƪ
\textdoublepipe,ǂ
\'{g},ǵ
\Elztrna,ɐ
\Elztrnsa,ɒ
\Elzopeno,ɔ
\Elzrtld,ɖ
\Elzschwa,ə
\varepsilon,ɛ
\Elzpgamma,ɣ
\Elzpbgam,ɤ
\Elztrnh,ɥ
\Elzbtdl,ɬ
\Elzrtll,ɭ
\Elztrnm,ɯ
\Elztrnmlr,ɰ
\Elzltlmr,ɱ
\Elzltln,ɲ
\Elzrtln,ɳ
\Elzclomeg,ɷ
\textphi,ɸ
\Elztrnr,ɹ
\Elztrnrl,ɺ
\Elzrttrnr,ɻ
\Elzrl,ɼ
\Elzrtlr,ɽ
\Elzfhr,ɾ
\Elzrtls,ʂ
\Elzesh,ʃ
\Elztrnt,ʇ
\Elzrtlt,ʈ
\Elzpupsil,ʊ
\Elzpscrv,ʋ
\Elzinvv,ʌ
\Elzinvw,ʍ
\Elztrny,ʎ
\Elzrtlz,ʐ
\Elzyogh,ʒ
\Elzglst,ʔ
\Elzreglst,ʕ
\Elzinglst,ʖ
\textturnk,ʞ
\Elzdyogh,ʤ
\Elztesh,ʧ
\textasciicaron,ˇ
\Elzverts,ˈ
\Elzverti,ˌ
\Elzlmrk,ː
\Elzhlmrk,ˑ
\Elzsbrhr,˒
\Elzsblhr,˓
\Elzrais,˔
\Elzlow,˕
\textasciibreve,˘
\textperiodcentered,˙
\r{},˚
\k{},˛
\texttildelow,˜
\H{},˝
\tone{55},˥
\tone{44},˦
\tone{33},˧
\tone{22},˨
\tone{11},˩
\`,̀
\',́
\^,̂
\~,̃
\=,̄
\u,̆
\.,̇
\",̈
\r,̊
\H,̋
\v,̌
\cyrchar\C,̏
\Elzpalh,̡
\Elzrh,̢
\c,̧
\k,̨
\Elzsbbrg,̪
\Elzxl,̵
\Elzbar,̶
\'{H},Ή
\'{}{I},Ί
\'{}O,Ό
\mathrm{'Y},Ύ
\mathrm{'\Omega},Ώ
\acute{\ddot{\iota}},ΐ
\Alpha,Α
\Beta,Β
\Gamma,Γ
\Delta,Δ
\Epsilon,Ε
\Zeta,Ζ
\Eta,Η
\Theta,Θ
\Iota,Ι
\Kappa,Κ
\Lambda,Λ
\Xi,Ξ
\Pi,Π
\Rho,Ρ
\Sigma,Σ
\Tau,Τ
\Upsilon,Υ
\Phi,Φ
\Chi,Χ
\Psi,Ψ
\Omega,Ω
\mathrm{\ddot{I}},Ϊ
\mathrm{\ddot{Y}},Ϋ
\'{$\alpha$},ά
\acute{\epsilon},έ
\acute{\eta},ή
\acute{\iota},ί
\acute{\ddot{\upsilon}},ΰ
\alpha,α
\beta,β
\gamma,γ
\delta,δ
\epsilon,ε
\zeta,ζ
\eta,η
\texttheta,θ
\iota,ι
\kappa,κ
\lambda,λ
\mu,μ
\nu,ν
\xi,ξ
\pi,π
\rho,ρ
\varsigma,ς
\sigma,σ
\tau,τ
\upsilon,υ
\varphi,φ
\chi,χ
\psi,ψ
\omega,ω
\ddot{\iota},ϊ
\ddot{\upsilon},ϋ
\acute{\upsilon},ύ
\acute{\omega},ώ
\Pisymbol{ppi022}{87},ϐ
\textvartheta,ϑ
\phi,ϕ
\varpi,ϖ
\Stigma,Ϛ
\Digamma,Ϝ
\digamma,ϝ
\Koppa,Ϟ
\Sampi,Ϡ
\varkappa,ϰ
\varrho,ϱ
\textTheta,ϴ
\backepsilon,϶
\cyrchar\CYRYO,Ё
\cyrchar\CYRDJE,Ђ
\cyrchar{\'\CYRG},Ѓ
\cyrchar\CYRIE,Є
\cyrchar\CYRDZE,Ѕ
\cyrchar\CYRII,І
\cyrchar\CYRYI,Ї
\cyrchar\CYRJE,Ј
\cyrchar\CYRLJE,Љ
\cyrchar\CYRNJE,Њ
\cyrchar\CYRTSHE,Ћ
\cyrchar{\'\CYRK},Ќ
\cyrchar\CYRUSHRT,Ў
\cyrchar\CYRDZHE,Џ
\cyrchar\CYRA,А
\cyrchar\CYRB,Б
\cyrchar\CYRV,В
\cyrchar\CYRG,Г
\cyrchar\CYRD,Д
\cyrchar\CYRE,Е
\cyrchar\CYRZH,Ж
\cyrchar\CYRZ,З
\cyrchar\CYRI,И
\cyrchar\CYRISHRT,Й
\cyrchar\CYRK,К
\cyrchar\CYRL,Л
\cyrchar\CYRM,М
\cyrchar\CYRN,Н
\cyrchar\CYRO,О
\cyrchar\CYRP,П
\cyrchar\CYRR,Р
\cyrchar\CYRS,С
\cyrchar\CYRT,Т
\cyrchar\CYRU,У
\cyrchar\CYRF,Ф
\cyrchar\CYRH,Х
\cyrchar\CYRC,Ц
\cyrchar\CYRCH,Ч
\cyrchar\CYRSH,Ш
\cyrchar\CYRSHCH,Щ
\cyrchar\CYRHRDSN,Ъ
\cyrchar\CYRERY,Ы
\cyrchar\CYRSFTSN,Ь
\cyrchar\CYREREV,Э
\cyrchar\CYRYU,Ю
\cyrchar\CYRYA,Я
\cyrchar\cyra,а
\cyrchar\cyrb,б
\cyrchar\cyrv,в
\cyrchar\cyrg,г
\cyrchar\cyrd,д
\cyrchar\cyre,е
\cyrchar\cyrzh,ж
\cyrchar\cyrz,з
\cyrchar\cyri,и
\cyrchar\cyrishrt,й
\cyrchar\cyrk,к
\cyrchar\cyrl,л
\cyrchar\cyrm,м
\cyrchar\cyrn,н
\cyrchar\cyro,о
\cyrchar\cyrp,п
\cyrchar\cyrr,р
\cyrchar\cyrs,с
\cyrchar\cyrt,т
\cyrchar\cyru,у
\cyrchar\cyrf,ф
\cyrchar\cyrh,х
\cyrchar\cyrc,ц
\cyrchar\cyrch,ч
\cyrchar\cyrsh,ш
\cyrchar\cyrshch,щ
\cyrchar\cyrhrdsn,ъ
\cyrchar\cyrery,ы
\cyrchar\cyrsftsn,ь
\cyrchar\cyrerev,э
\cyrchar\cyryu,ю
\cyrchar\cyrya,я
\cyrchar\cyryo,ё
\cyrchar\cyrdje,ђ
\cyrchar{\'\cyrg},ѓ
\cyrchar\cyrie,є
\cyrchar\cyrdze,ѕ
\cyrchar\cyrii,і
\cyrchar\cyryi,ї
\cyrchar\cyrje,ј
\cyrchar\cyrlje,љ
